Model,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted
Gradient Boosting,0.9973404255319149,0.9956521739130434,0.9761904761904763,0.9854661371802145,0.9972999036095549
Random Forest,0.9902482269503546,0.9681318681318682,0.9256345710090202,0.9444272285920876,0.9898790018615098
Decision Tree,0.9441489361702128,0.8559421537545687,0.8827538701226475,0.8685388837450491,0.9446136643481895
Logistic Regression,0.7881205673758865,0.636950755281042,0.7895660316336955,0.6859306773765056,0.8046737524822621
